price,style,size,gen,gb,model,time,year,wifi,cellular,unlocked,color
799.99,Pro,3,12.9,64GB,,,,,,,Gray
199.99,ipad,6,9.7,32GB,A1893,,,Wi-Fi,,,Gold
129.99,Air,2,9.7,16GB,MGL12LL/A,,,WiFi,,,Gray
1000.00,Pro,3,11,256GB,,,,WiFi,,,Silver
199.99,Air,1,9.7,16GB,,,,Wi-Fi,Cellular,Unlocked,Silver
254.00,mini,4,7.9,128GB,MK8D2LL/A,,,Wi-Fi,Cellular,,Gray
249.00,Air,,,128GB,MH312LL/A,,,Wifi,Cellular,,Gray
157.00,mini,2,7.9,,A1489,,,Wi-Fi,,,Silver
173.00,Air,,,64GB,A1567,,,WiFi,4G ,Unlocked,Silver
159.00,Air,,,16GB,MGH52LL/A,,,Wi-Fi,Cellular,,Gray
69.99,ipad,3r,9.7,16GB,A1403,,,Wi-Fi,Cellular,Unlocked,Black
239.00,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
165.95,ipad,,9.7,32GB,MPGA2LL/A,,,Wi-Fi,Cellular,Unlocked,Gold
439.95,Pro,,,256GB,,,,Wi-Fi,,,Gold
389.85,ipad,7,10.2,128GB,,,,Wi-Fi,4G ,Unlocked,Gray
449.00,Pro,2,10.5,512GB,MPGJ2LL/A,,,WiFi,,,Silver
340.69,Pro,,10.5,64GB,MQDT2LL/A,,,Wi-Fi,,,Gray
199.85,Air,,9.7,64GB,,,,Wi-Fi,,,Silver
229.85,Air,,9.7,128GB,,,,Wi-Fi,,,Gray
366.00,Pro,,10.5,64GB,,,,Wi-Fi,,,Gold
286.99,Pro,,9.7,128GB,MLMV2LL/A,,,Wi-Fi,,,Gray
191.00,ipad,2017 ,,32GB,,,2017,Wi-Fi,,,Gray
269.85,mini,4,7.9,128GB,,,,Wi-Fi,Cellular,Unlocked,Gray
189.99,ipad,6 ,9.7,32GB,,,2018,Wi-Fi,,,Silver
171.99,Air,,,64GB,MH2M2LL/A,,,Wi-Fi,LTE,,Gray
459.00,Pro,,10.5,256GB,MPF02LL/A,,,Wi-Fi,,,Silver
99.00,ipad,3r,,32GB,MD329LL/A,,,,,,
269.85,Pro,,9.7,32GB,,,,Wi-Fi,,,Gray
79.85,ipad,3r,9.7,16GB,,,,Wi-Fi,,,
69.85,ipad,2 ,9.7,16GB,,,,Wi-Fi,,,BLACK
109.85,ipad,4,9.7,16GB,,,,Wi-Fi,,,BLACK
289.85,mini,4,7.9,128GB,,,,Wi-Fi,Cellular,Unlocked,Silver
154.95,Air,5,9.7,32GB,MD789LL/A,,,WiFi,,,
212.19,Mini,4,7.9,128GB,Mini 4 7.9" Tablet 128GB Wi-Fi  - Gold (MK9Q2LL/A,,,Wi-Fi,,,Gold
269.85,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gold
